canonical_name_final,trial_count,pair_count,frequency_rank,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,needs_mechanism_review,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
cs0159,2,2,75,cs0159,cs0159,Undisclosed,undisclosed,,,small molecule (reported; mechanism needs confirmation),,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT06492330,Used with semaglutide in obesity/MASH studies; mechanism requires stronger primary-source verification.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
cx11,2,2,76,cx11,vct220,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED_ALIAS,high,https://www.corxelbio.com/en/pipeline-science/,CX11 is also known as VCT220; collapse to VCT220 identity.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
dapagliflozin,2,2,77,dapagliflozin,dapagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition increases urinary glucose excretion,small molecule,,False,VERIFIED,high,,Established SGLT2 inhibitor.,False,False,VERIFIED,VERIFIED,Renal/glucose transport,SGLT2,True,False,False
dapiglutide,2,2,78,dapiglutide,dapiglutide,Incretin-based,GLP-1/GLP-2,GLP1R; GLP2R,Dual GLP-1/GLP-2 receptor agonist,peptide,dual,True,VERIFIED,high,https://www.zealandpharma.com/pipeline/dapiglutide-program-paused/,Long-acting dual GLP-1R/GLP-2R agonist; programme currently paused.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GLP-2,True,False,False
emp16-02 orlistat/ acarbose,2,2,79,emp16-02 orlistat/ acarbose,EMP16 (orlistat + acarbose),GI nutrient absorption,lipase + carbohydrate-digestion inhibition,gastric/pancreatic lipases; intestinal alpha-glucosidases/amylase,Modified-release combination reduces fat absorption and delays carbohydrate digestion,small-molecule combination/formulation,,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/36123783/,EMP16 is modified-release orlistat + acarbose.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,GI nutrient absorption,lipase + carbohydrate-digestion inhibition,True,False,False
enobosarm,2,2,80,enobosarm,enobosarm,Lean-mass preservation,androgen receptor modulation,AR,Selective androgen receptor modulation to preserve/increase lean mass,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/22031847/,Selective androgen receptor modulator (SARM); used as adjunct during GLP-1 weight loss.,False,False,VERIFIED,VERIFIED,Lean-mass preservation,androgen receptor modulation,True,False,False
erx1000,2,2,81,erx1000,erx1000,CNS/appetite,leptin sensitisation,leptin signalling pathway (direct molecular target undisclosed),Restores leptin sensitivity to reduce appetite and defend energy expenditure,small molecule,,False,VERIFIED,medium,https://www.erxpharmaceuticals.com/research-development/erx-1000-for-obesity/,First-in-class oral leptin sensitizer; direct binding target not publicly specified.,False,False,VERIFIED,VERIFIED,CNS/appetite,leptin sensitisation,True,False,False
garetosmab,2,2,82,garetosmab,garetosmab,Lean-mass preservation,activin A blockade,Activin A (INHBA),Neutralising anti-activin A antibody,monoclonal antibody,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/32557665/,Used in obesity combinations to preserve/improve lean mass.,False,False,VERIFIED,VERIFIED,Lean-mass preservation,activin A blockade,True,False,False
glp-1 receptor agonist,2,2,83,glp-1 receptor agonist,unspecified GLP-1 receptor agonist,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,unspecified,mono,True,VERIFIED,medium,,Generic class label rather than a named molecule.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
hdm1002,2,2,84,hdm1002,hdm1002,Incretin-based,GLP-1,GLP1R,Potent selective GLP-1 receptor full agonist with cAMP-biased signalling,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41803652/,Oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
hm15275,2,2,85,hm15275,hm15275,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,high,https://hanmipharm.com/science/pipeline/focused/hm15275.hm,Long-acting triple agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
hrs-5817,2,2,86,hrs-5817,hrs-5817,Undisclosed,undisclosed,,,injectable,,,RESEARCH_REQUIRED,low,https://www.hengrui.com/media/detail-745.html,"Hengrui confirms a novel obesity target and notes no marketed drug shares the target, but does not publicly disclose the target.",False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
hs-20094,2,2,87,hs-20094,olatorepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://www.hspharm.com/news/news-detail-513468.htm,HS-20094 is olatorepatide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/GIP,True,False,False
ibi3032,2,2,88,ibi3032,ibi3032,Incretin-based,GLP-1,GLP1R,Selective cAMP-biased GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/75/Supplement_1/1678-P/167721,Once-daily oral nonpeptide GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
ibi3042,2,2,89,ibi3042,ibi3042,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/75/Supplement_1/2543-P/167474/,Oral small-molecule GLP-1RA designed for once-weekly dosing.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
jnj-64565111 dose level 1,2,2,90,jnj-64565111 dose level 1,jnj-64565111,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/33475255/,Dose-level registry label; collapse to JNJ-64565111.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/glucagon,True,False,False
jnj-64565111 dose level 2,2,2,91,jnj-64565111 dose level 2,jnj-64565111,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/33475255/,Dose-level registry label; collapse to JNJ-64565111.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/glucagon,True,False,False
jnj-64565111 dose level 3,2,2,92,jnj-64565111 dose level 3,jnj-64565111,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/33475255/,Dose-level registry label; collapse to JNJ-64565111.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/glucagon,True,False,False
k-757 and k-833,2,2,93,k-757 and k-833,K-757 + K-833,GI/pancreatic nutrient sensing,GPR40 + GPR119,FFAR1 (GPR40); GPR119,Combined GPR40 and GPR119 agonism enhances endogenous incretin and insulin secretion through complementary nutrient-sensing pathways,small-molecule combination,combination,False,VERIFIED,high,https://dom-pubs.onlinelibrary.wiley.com/doi/10.1111/dom.70014,K-757 is a GPR40 full agonist; K-833 is a GPR119 full agonist.,False,False,VERIFIED,VERIFIED,GI/pancreatic nutrient sensing,GPR40 + GPR119,True,False,False
kai-7535,2,2,94,kai-7535,hrs-7535,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED_ALIAS,high,https://investors.kailera.com/news-releases/news-release-details/kailera-therapeutics-announces-positive-topline-data-two-hengrui,KAI-7535 and HRS-7535 are the same oral small-molecule GLP-1RA.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
kd101,2,2,95,kd101,KD101,Metabolic/energy expenditure,energy metabolism,direct molecular target not publicly established,Promotes energy metabolism without primary appetite suppression,small molecule / purified natural-product-derived compound,,False,VERIFIED,medium,https://pmc.ncbi.nlm.nih.gov/articles/PMC7877834/,(-)-alpha-cedrene single isomer; exact molecular target remains unclear.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,energy metabolism,True,False,False
lb54640,2,2,96,lb54640,bivamelagon,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,small molecule,mono,False,VERIFIED_ALIAS,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC13017269/,"LB54640 is bivamelagon, an oral MC4R-selective agonist.",False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Melanocortin,MC4R,True,False,False
ly3532226,2,2,97,ly3532226,macupatide,Incretin-based,GIP,GIPR,Long-acting GIP receptor agonist,large-molecule biologic,mono,True,VERIFIED_ALIAS,high,https://www.lilly.com/science/research-development/pipeline,LY3532226 is macupatide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GIP,True,False,False
mibavademab,2,2,98,mibavademab,mibavademab,Leptin pathway,leptin receptor,LEPR,Agonistic leptin-receptor monoclonal antibody,monoclonal antibody,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC11003274/,Fully human LEPR agonistic antibody.,False,False,VERIFIED,VERIFIED,Leptin pathway,leptin receptor,True,False,False
na-931,2,2,99,na-931,NA-931,Incretin + growth-factor,IGF-1/GLP-1/GIP/glucagon,IGF1R pathway; GLP1R; GIPR; GCGR,"Quadruple IGF-1, GLP-1, GIP and glucagon pathway agonism",multi-agonist biologic,quadruple,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/143-OR/159475,Quadruple agonist designed to reduce weight while preserving muscle.,False,False,VERIFIED,VERIFIED,Incretin + growth-factor,IGF-1/GLP-1/GIP/glucagon,True,False,False
naltrexone,2,2,100,naltrexone,naltrexone,CNS/appetite,opioid,OPRM1,Opioid receptor antagonism,small molecule,,False,VERIFIED,high,,Established pharmacology.,False,False,VERIFIED,VERIFIED,CNS/appetite,opioid,True,False,False
ngm313,2,2,101,ngm313,MK-3655,Metabolic/FGF21 pathway,FGFR1c/beta-Klotho,FGFR1c; KLB,Agonistic antibody selectively activating the beta-Klotho/FGFR1c complex,monoclonal antibody,,False,VERIFIED_ALIAS,high,https://www.ngmbio.com/news/release/merck-exercises-option-ngm-bios-investigational-insulin,NGM313 was renamed MK-3655.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic/FGF21 pathway,FGFR1c/beta-Klotho,True,False,False
nnc0165-1562,2,2,102,nnc0165-1562,NNC0165-1562,CNS/appetite,PYY,NPY2R-dominant PYY pathway,Long-acting peptide YY analogue,peptide,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC13376848/,Long-acting PYY analogue investigated alone and with semaglutide.,False,False,VERIFIED,VERIFIED,CNS/appetite,PYY,True,False,False
nnc0194-0499,2,2,103,nnc0194-0499,zalfermin,Metabolic/FGF21 pathway,FGF21,FGFR1c/FGFR3c + KLB,Long-acting FGF21-receptor agonist analogue,peptide/protein analogue,,False,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/39013015/,NNC0194-0499 is zalfermin.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic/FGF21 pathway,FGF21,True,False,False
nnc9204-0530,2,2,104,nnc9204-0530,NNC9204-0530,Glucagon pathway,glucagon,GCGR,Glucagon receptor agonist,peptide,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC10304508/,Also known as NN9030.,False,False,VERIFIED,VERIFIED,Glucagon pathway,glucagon,True,False,False
nnc9204-1177,2,2,105,nnc9204-1177,NNC9204-1177,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/37690519/,Also called NN1177; development stopped after Phase 1 safety findings.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
nt-0796,2,2,106,nt-0796,NT-0796,Inflammation/metabolic,NLRP3 inflammasome,NLRP3,NLRP3 inflammasome inhibitor,small molecule,,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC12210099/,Anti-inflammatory metabolic mechanism; developed alone and with GLP-1RA.,False,False,VERIFIED,VERIFIED,Inflammation/metabolic,NLRP3 inflammasome,True,False,False
olatorepatide,2,2,107,olatorepatide,olatorepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://www.hspharm.com/news/news-detail-513468.htm,Same molecule previously recorded as HS-20094.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
pf-07976016,2,2,108,pf-07976016,PF-07976016,Undisclosed,undisclosed,,,undisclosed,,,RESEARCH_REQUIRED,low,https://clinical-trials-search.canada.ca/en/clinical-trial/289886-overweightobesity,"Pfizer identifies this as an obesity/weight-loss asset, but an authoritative public mechanism was not found.",False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
pf-08653945,2,2,109,pf-08653945,MET233,Amylin-based,amylin,amylin receptors,Ultra-long-acting amylin receptor agonist,peptide,multi,False,VERIFIED_ALIAS,high,https://doi.org/10.3390/scipharm94010021,"PF-08653945 is MET233, an ultra-long-acting amylin analogue.",False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Amylin-based,amylin,True,False,False
pg-102,2,2,110,pg-102,PG-102,Incretin-based,GLP-1/GLP-2,GLP1R; GLP2R,Bispecific dual GLP-1/GLP-2 receptor agonist,Fc-fusion protein,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41876542/,Bispecific Fc fusion protein.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GLP-2,True,False,False
pioglitazone,2,2,111,pioglitazone,pioglitazone,Metabolic/insulin sensitisation,PPAR-gamma,PPARG,PPAR-gamma agonist,small molecule,mono,False,VERIFIED,high,,Thiazolidinedione insulin sensitiser.,False,False,VERIFIED,VERIFIED,Metabolic/insulin sensitisation,PPAR-gamma,True,False,False
rgt001-075,2,2,112,rgt001-075,RGT-075,Incretin-based,GLP-1,GLP1R,Full GLP-1 receptor agonist,small molecule,mono,True,VERIFIED_ALIAS,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/785-P/159759/,RGT001-075/RGT-075 is an oral nonpeptide small-molecule GLP-1RA.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
ro7204239,2,2,113,ro7204239,emugrobart,Lean-mass preservation,myostatin blockade,MSTN (myostatin/GDF8),Recycling/antigen-sweeping anti-myostatin monoclonal antibody,monoclonal antibody,,False,VERIFIED_ALIAS,high,https://forpatients.roche.com/content/dam/patient-platform/lps/global/bp45369/LPS_BP45369_final-results_May2026_English.pdf,RO7204239/GYM329 is emugrobart.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Lean-mass preservation,myostatin blockade,True,False,False
s-309309,2,2,114,s-309309,S-309309,GI nutrient absorption/metabolism,MGAT2 inhibition,MOGAT2 (MGAT2),Monoacylglycerol acyltransferase-2 inhibitor,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/39832041/,Novel oral MGAT2 inhibitor developed for obesity.,False,False,VERIFIED,VERIFIED,GI nutrient absorption/metabolism,MGAT2 inhibition,True,False,False
semaglutide or tirzepatide,2,2,115,semaglutide or tirzepatide,semaglutide or tirzepatide,Incretin-based,GLP-1-based mixed class,GLP1R; optionally GIPR,Registry class label covering either semaglutide or tirzepatide,peptide / mixed class label,mixed,True,VERIFIED,medium,,Do not collapse to a single molecule; retain as a mixed treatment-class label.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1-based mixed class,True,False,False
syh2069,2,2,116,syh2069,SYH2069,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual-biased GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1229/2025122901053.pdf,CSPC dual-biased agonist polypeptide injection.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
syh2082,2,2,117,syh2082,SYH2082,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Long-acting dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://www.astrazeneca.com/media-centre/press-releases/2026/astrazeneca-agrees-obesity-and-t2d-deal-with-cspc.html,Once-monthly programme licensed by AstraZeneca from CSPC.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
syntocinon,2,2,118,syntocinon,oxytocin,Oxytocin,oxytocin receptor,OXTR,Oxytocin receptor agonist,peptide,mono,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT02849743,Syntocinon is intranasal oxytocin; collapse into oxytocin identity.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Oxytocin,oxytocin receptor,True,False,False
thdbh120,2,2,119,thdbh120,THDBH120,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Long-acting dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41690462/,Long-acting dual GIPR/GLP-1R agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
tqf3250,2,2,120,tqf3250,TQF3250,Undisclosed,undisclosed,,,oral drug; exact mechanism undisclosed,,,RESEARCH_REQUIRED,low,https://ichgcp.net/clinical-trials-registry/NCT07798284,Clinical obesity programme verified; no sufficiently authoritative public mechanism identified.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
zp8396,2,2,121,zp8396,petrelintide,Amylin-based,amylin,amylin receptors; CTR,Long-acting human amylin analogue,peptide,multi,False,VERIFIED_ALIAS,high,https://www.zealandpharma.com/pipeline/petrelintide/,ZP8396 is petrelintide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Amylin-based,amylin,True,False,False
zt006,2,2,122,zt006,ZT006,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,oral peptide,mono,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/75/Supplement_1/1721-P/167880/,Oral GLP-1 receptor agonist peptide.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
RM-718,1,1,123,RM-718,RM-718,Melanocortin,MC4R,MC4R,Selective melanocortin-4 receptor agonist,cyclic peptide,mono,False,VERIFIED,high,https://www.sec.gov/Archives/edgar/data/1649904/000162828026052170/rytmq22026rm-718.htm,Once-weekly MC4R peptide agonist designed to spare MC1R activity.,False,False,VERIFIED,VERIFIED,Melanocortin,MC4R,True,False,False
acarbose,1,1,124,acarbose,acarbose,GI nutrient absorption,alpha-glucosidase inhibition,intestinal alpha-glucosidases,Delays intestinal carbohydrate digestion and absorption,small molecule,,False,VERIFIED,high,,Established alpha-glucosidase inhibitor.,False,False,VERIFIED,VERIFIED,GI nutrient absorption,alpha-glucosidase inhibition,True,False,False
administration of weight loss drug metformin or topiramate,1,1,125,administration of weight loss drug metformin or topiramate,metformin or topiramate,Mixed/unspecified,mixed established pharmacotherapy,AMPK-associated metabolic pathways; CNS/GABA-glutamate pathways,Registry label allows either metformin or topiramate,mixed small-molecule class label,mixed,False,VERIFIED,medium,,Do not collapse to one molecule.,False,False,VERIFIED,VERIFIED,Mixed/unspecified,mixed established pharmacotherapy,True,False,False
aln-2232,1,1,126,aln-2232,ALN-2232,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),RNA interference-mediated silencing of ACVR1C/ALK7,siRNA,,False,VERIFIED,high,https://www.alnylam.com/alnylam-rnai-pipeline,Alnylam obesity RNAi programme targeting ACVR1C (ALK7).,False,False,VERIFIED,VERIFIED,Adipose signalling/RNAi,ALK7/ACVR1C,True,False,False
aln-6222,1,1,127,aln-6222,ALN-6222,Adipose signalling/RNAi,INHBE/activin E,INHBE,RNA interference-mediated silencing of hepatic INHBE/activin E,siRNA,,False,VERIFIED,high,https://www.alnylam.com/alnylam-rnai-pipeline,Alnylam obesity RNAi programme targeting INHBE.,False,False,VERIFIED,VERIFIED,Adipose signalling/RNAi,INHBE/activin E,True,False,False
alv-100,1,1,128,alv-100,ALV-100,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonist peptide fused to a GIP-receptor antagonist antibody,antibody-peptide fusion,,True,VERIFIED,high,https://alveustx.com/science/,Humanised GIPR-antagonist IgG4 antibody plus GLP-1RA peptide fusion.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1 agonism + GIP antagonism,True,False,False
aly688-sr,1,1,129,aly688-sr,ALY688-SR,Adiponectin pathway,adiponectin receptor,ADIPOR1; ADIPOR2,Adiponectin-derived peptide agonising adiponectin-receptor signalling,peptidomimetic peptide,,False,VERIFIED,high,https://www.allysta.com/_files/ugd/4c3d43_9c71891413e54c7d9419289a557e1d6f.pdf,Sustained-release adiponectin analogue/agonist; Phase 1 conducted in overweight/obese adults.,False,False,VERIFIED,VERIFIED,Adiponectin pathway,adiponectin receptor,True,False,False
amg 171,1,1,130,amg 171,AMG 171,CNS/appetite,GDF15/GFRAL,GDF15; GFRAL/RET pathway,Long-acting GDF15 agonism suppressing food intake via GFRAL/RET,GDF15-Fc fusion protein,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC12361751/,GDF15-Fc fusion programme; discontinued after Phase 1.,False,False,VERIFIED,VERIFIED,CNS/appetite,GDF15/GFRAL,True,False,False
amg 598,1,1,131,amg 598,AMG 598,Undisclosed,undisclosed,,,undisclosed,,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT03757130,Amgen obesity Phase 1 programme; public molecular mechanism not identified.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
amg 786,1,1,132,amg 786,AMG 786,Undisclosed,undisclosed non-incretin,,,small molecule,,False,RESEARCH_REQUIRED,medium,https://www-ext.amgen.com/newsroom/press-releases/2024/05/amgen-reports-first-quarter-2024-financial-results,Amgen stated this was a non-incretin small-molecule obesity programme; specific target remains undisclosed.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
anti-obesity pharmacotherapy class effect,1,1,133,anti-obesity pharmacotherapy class effect,unspecified anti-obesity pharmacotherapy,Mixed/unspecified,mixed anti-obesity class,,Generic registry label for an anti-obesity pharmacotherapy class rather than a single mechanism,mixed/unspecified,mixed,,VERIFIED,low,,Retain as mixed class; unsuitable for molecule-specific mechanism charts.,False,False,VERIFIED,VERIFIED,Mixed/unspecified,mixed anti-obesity class,True,False,False
antidepressant therapy,1,1,134,antidepressant therapy,unspecified antidepressant therapy,CNS/appetite,mixed antidepressant class,,Generic antidepressant-treatment class label; mechanism depends on the selected agent,mixed/unspecified,mixed,False,VERIFIED,low,,Retain as a mixed class rather than forcing a single molecular target.,False,False,VERIFIED,VERIFIED,CNS/appetite,mixed antidepressant class,True,False,False
apitegromab,1,1,135,apitegromab,apitegromab,Lean-mass preservation,myostatin activation blockade,latent/promyostatin,Monoclonal antibody selectively inhibiting activation of myostatin,monoclonal antibody,,False,VERIFIED,high,https://www.nature.com/articles/s41591-026-04440-4,Lean-mass-preservation adjunct during tirzepatide-induced weight loss.,False,False,VERIFIED,VERIFIED,Lean-mass preservation,myostatin activation blockade,True,False,False
aro-alk7,1,1,136,aro-alk7,ARO-ALK7,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),Adipocyte-targeted RNA interference reduces ALK7 expression,siRNA,,False,VERIFIED,high,https://ir.arrowheadpharma.com/news-releases/news-release-details/arrowhead-pharmaceuticals-announces-interim-clinical-data-rnai,Adipocyte-targeted RNAi obesity therapy.,False,False,VERIFIED,VERIFIED,Adipose signalling/RNAi,ALK7/ACVR1C,True,False,False
aro-inhbe,1,1,137,aro-inhbe,ARO-INHBE,Adipose signalling/RNAi,INHBE/activin E,INHBE,Hepatocyte-targeted RNA interference reduces INHBE/activin E,siRNA,,False,VERIFIED,high,https://ir.arrowheadpharma.com/news-releases/news-release-details/arrowhead-pharmaceuticals-announces-interim-clinical-data-rnai,RNAi targeting hepatic INHBE/activin E.,False,False,VERIFIED,VERIFIED,Adipose signalling/RNAi,INHBE/activin E,True,False,False
at673 high dose,1,1,138,at673 high dose,AT673,Incretin pathway modulation,GIP antagonism,GIPR,GIP receptor antagonism,peptide,mono,True,VERIFIED_ALIAS,high,https://patents.google.com/patent/US20230416330A1/en,Dose label; AT673 is a GIP peptide analogue with potent GIPR antagonism.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin pathway modulation,GIP antagonism,True,False,False
at673 low dose,1,1,139,at673 low dose,AT673,Incretin pathway modulation,GIP antagonism,GIPR,GIP receptor antagonism,peptide,mono,True,VERIFIED_ALIAS,high,https://patents.google.com/patent/US20230416330A1/en,Dose label; AT673 is a GIP peptide analogue with potent GIPR antagonism.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin pathway modulation,GIP antagonism,True,False,False
atomoxetine,1,1,140,atomoxetine,atomoxetine,CNS/appetite,noradrenergic,NET (SLC6A2),Selective norepinephrine reuptake inhibition,small molecule,,False,VERIFIED,high,,Established pharmacology.,False,False,VERIFIED,VERIFIED,CNS/appetite,noradrenergic,True,False,False
azd1043,1,1,141,azd1043,AZD1043,Undisclosed,undisclosed,,,injectable/biologic or peptide not publicly specified,,,RESEARCH_REQUIRED,low,https://www.astrazeneca.com/our-therapy-areas/pipeline.html,Current AstraZeneca Phase 1 obesity asset; mechanism not publicly disclosed.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
azd6234 in combination with azd9550,1,1,142,azd6234 in combination with azd9550,AZD6234 + AZD9550,Incretin + amylin,amylin + GLP-1/glucagon combination,amylin receptors; GLP1R; GCGR,Combination of selective amylin-receptor agonism with dual GLP-1/glucagon agonism,peptide combination,combination,True,VERIFIED_ALIAS,high,https://www.astrazeneca.com/our-therapy-areas/pipeline.html,Registry wording for AZD6234 + AZD9550 combination.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin + amylin,amylin + GLP-1/glucagon combination,True,False,False
azd9550 and azd6234,1,1,143,azd9550 and azd6234,AZD6234 + AZD9550,Incretin + amylin,amylin + GLP-1/glucagon combination,amylin receptors; GLP1R; GCGR,Combination of selective amylin-receptor agonism with dual GLP-1/glucagon agonism,peptide combination,combination,True,VERIFIED_ALIAS,high,https://www.astrazeneca.com/our-therapy-areas/pipeline.html,Registry wording for AZD6234 + AZD9550 combination.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin + amylin,amylin + GLP-1/glucagon combination,True,False,False
